num,Country,colony,Lat,Lon,Year,Size,GPS_n_birds,GPS_n_trips,Dur,Dur_err,Dur_err_type,Maxdist,Maxdist_err,Maxdist_err_type,Totaldist,Totaldist_err,Totaldist_err_type,GPS_freq_mins,GPS_years,GPS_year
1,Canada,Cape St Mary's,46.81,-54.18,2018,14598,295,10,14.37362,0.6263172,SE,71.2835,2.946966,SE,168.2658,7.653283,SE,15,2019-21,2019
1,Canada,Cape St Mary's,46.81,-54.18,2018,14598,211,7,14.03799,0.7900987,SE,73.09853,2.639446,SE,184.0572,8.101291,SE,15,2019-21,2020
1,Canada,Cape St Mary's,46.81,-54.18,2018,14598,52,8,15.29519,1.1239838,SE,76.02483,5.223396,SE,192.3432,14.020181,SE,15,2019-21,2021
2,Canada,Baccalieu Island,48.15,-52.8,2009,2253,6,18,9.292778,1.719013 7.293154,SE/SD,39.88889,5.829769 24.733613,SE/SD,141.6111,26.43133 112.13864,SE/SD,,2009,2009
3,Canada,Bonaventure Island,48.48,-64.15,2004,53635,14,15,28,NA,NA,132,NA,NA,432,NA,NA,3,2003,2003
4,France,Rouzic,48.9,-3.436,2005,17507,20,20,17.7,8.5,SD,100,35,SD,479,206,SD,2min or 10s,2005,2005
4,France,Rouzic,48.9,-3.436,2006,18680,9,9,19.8,9.9,SD,71,26,SD,310,116,SD,,2006,2006
4,France,Rouzic,48.9,-3.436,2010,21900,23,23,24.5,9.1,SD,125.4,58.8,SD,432.6,178.7,SD,,2010,2010
4,France,Rouzic,48.9,-3.436,2011,22400,21,21,21.9,8.9,SD,119,42.7,SD,460.2,200.2,SD,,2011,2011
4,France,Rouzic,48.9,-3.436,2012,20400,19,19,23.4,12.2,SD,128.7,60.1,SD,492.5,244.5,SD,,2012,2012
4,France,Rouzic,48.9,-3.436,2013,19500,9,9,24.8,8.4,SD,113.1,41.8,SD,458.6,146.9,SD,,2013,2013
4,France,Rouzic,48.9,-3.436,2014,21600,19,19,38.5,21.2,SD,175,83.9,SD,633.9,210.8,SD,,2014,2014
4,France,Rouzic,48.9,-3.436,2015,21300,19,19,33.4,13.3,SD,167.2,62.7,SD,638.4,236.7,SD,,2015,2015
4,France,Rouzic,48.9,-3.436,2016,20200,19,19,34.3,13.3,SD,132.6,50,SD,513.9,269.4,SD,,2016,2016
4,France,Rouzic,48.9,-3.436,2017,19000,11,11,16.9,5.8,SD,101.5,21.8,SD,358.8,100.3,SD,,2017,2017
5,Alderney,Alderney,49.705,-2.239,2011,7885,17,37,16.6,2.1,SE,106,9.9,SE,331,34,SE,2,2011 & 2015,2011
5,Alderney,Alderney,49.705,-2.239,2011,7885,15,96,27,1.4,SE,135,7,SE,476,22,SE,2,2011 & 2015,2015
5,Alderney,Alderney,49.705,-2.239,2011,7885,15,72,23.5,3.3,SE,121.4,16.7,SE,390.3,54.4,SE,2,2011 & 2015,2013
5,Alderney,Alderney,49.705,-2.239,2011,7885,13,83,20.9,3.3,SE,114.5,16.4,SE,378.3,53.1,SE,2,2011 & 2015,2014
6,Canada,Funk Island,49.75,-53.18,2004,10047,7,11,14.9,5,SD,62,12,SD,177,49,SD,3,"2003, 2005",2003
6,Canada,Funk Island,49.75,-53.18,2004,10047,19,23,17.3,9.6,SD,122,81,SD,353,222,SD,3,"2003, 2005",2005
7,Ireland,Bull Rock,51.58,-10.3,2004,3694,14,166,11.88245509,8.082858834,SD,69.83651497,34.05711886,SD,212.2022216,131.849956,SD,2,2011,2011
8,Wales,Grassholm,51.73122529,-5.479207075,2004,32094,23,29,24.8,3.4,SE,123.7,16.8,SE,375.1,276.9,SE,3,"2006, 2010-2017",2006
8,Wales,Grassholm,51.73122529,-5.479207075,2009,39292,22,86,24.1,1.6,SE,150.5,10.7,SE,466.1,33.6,SE,1or2,"2006, 2010-2018",2010
8,Wales,Grassholm,51.73122529,-5.479207075,2009,39292,45,203,20.8,1.4,SE,109.1,4.9,SE,358.1,19.4,SE,1or2,"2006, 2010-2019",2011
8,Wales,Grassholm,51.73122529,-5.479207075,2009,39292,40,47,23.8,1.8,SE,130,8.8,SE,428.4,31.3,SE,1or2,"2006, 2010-2020",2012
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,47,76,20.71,1.35,SE,126.04,7.04,SE,412.04,26.81,SE,?1 or 2,"2006, 2010-2021",2013
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,41,50,17.92,1.42,SE,122.78,8.47,SE,367.18,25.79,SE,?1 or 2,"2006, 2010-2022",2014
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,27,41,18.43,1.38,SE,94.67,5.67,SE,332.53,21.89,SE,?1 or 2,"2006, 2010-2023",2015
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,38,67,17.14,1.78,SE,72.73,5.69,SE,231.14,22.79,SE,?1 or 2,"2006, 2010-2024",2016
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,21,35,38,3.83,SE,137.67,8.55,SE,518.96,59.56,SE,?1 or 2,"2006, 2010-2025",2017
9,Ireland,Little Skellig,51.78,-10.5,2004,29683,9,64,13.42511966,11.78003905,SD,96.50298462,61.75356502,SD,246.1832769,189.938098,SD,2,2011,2011
10,Ireland,Great Saltee,52.11286,-6.62189,2004,2446,5,54,11.9,6.7,SD,89,49,SD,NA,NA,NA,180,1999&2010-11&2017-18,1999
10,Ireland,Great Saltee,52.11286,-6.62189,2013/14,4722,17,46,29.45141,5.947869,SE,78.35176,6.729564,SE,244.0752,23.86367,SE,2,1999&2010-11&2017-18,2010
10,Ireland,Great Saltee,52.11286,-6.62189,2013/14,4722,18,162,16.67512174,11.53232054,SD,81.92633333,52.33571892,SD,265.802716,177.5835317,SD,2,1999&2010-11&2017-18,2011
10,Ireland,Great Saltee,52.11286,-6.62189,2013/14,4722,17,31,38.25,5.120739,SE,141.8127,17.30307,SE,500.1695,67.59698,SE,3,1999&2010-11&2017-18,2017
10,Ireland,Great Saltee,52.11286,-6.62189,2013/14,4722,14,37,32.99748,3.591052,SE,174.0365,14.32225,SE,497.5609,49.47271,SE,3,1999&2010-11&2017-18,2018
11,Ireland,Lambay,53.5,-6,2010,138,3,37,11.56042398,7.627606212,SD,37.50852632,19.58356045,SD,126.8246579,75.25272125,SD,2,2011,2011
12,England,Bempton,54.15,-0.17,2012,11061,12,1272,8.64,NA,NA,43.22,NA,NA,126.54,NA,NA,~1,"2010-12,15",2010
12,England,Bempton,54.15,-0.17,2012,11061,4,574,8.16,NA,NA,37.22,NA,NA,119.62,NA,NA,~1,"2010-12,16",2011
12,England,Bempton,54.15,-0.17,2012,11061,9,945,8.88,NA,NA,46.22,NA,NA,133.27,NA,NA,~1,"2010-12,17",2012
12,England,Bempton,54.15,-0.17,2017,13392,10,191,16.74049,1.312292,SE,85.15965,3.737153,SE,218.0503,11.02845,SE,5,"2010-12,18",2018
13,Germany,Heligoland,54.18,7.92,2014,656,3,168,7.9,8,SD,42,45.7,SD,124.6,138.6,SD,Not stated,2014,2014
14,Scotland,Ailsa Craig,55.25,-5.12,2014,33226,16,111,26.21258759,16.15430621,SD,152.2972703,70.49589555,SD,485.9557387,264.8212936,SD,2,2011,2011
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,14,70,31.5,13,SD,224.3,96.8,SD,588.2,245.5,SD,30,1998&2002-3,1998
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,13,42,40,17.6,SD,319.7,132.9,SD,786,344.3,SD,30,1998&2002-3,2002
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,21,58,25.9,9.6,SD,170.5,94.2,SD,417.6,231.3,SD,30,1998&2002-3,2003
15,Scotland,Bass Rock,56.07672,-2.64139,2009,60953,41,138,23.5412,11.46253,SD,198.9982,94.47178,SD,NA,NA,SD,2,2010-12,2010
15,Scotland,Bass Rock,56.07672,-2.64139,2009,60953,28,124,27.76669355,15.80835231,SD,158.3825806,69.11737719,SD,503.3846855,250.4270897,SD,2,2010-12,2011
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,30,166,22.58842,13.36972,SD,186.9874,103.81112,SD,NA,NA,SD,2,2010-12,2012
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,20,122,24.7,9.7,SD,226.6,102.4,SD,NA,NA,SD,2,2015-17,2015
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,21,91,20.7,12.4,SD,185.5,106.4,SD,NA,NA,SD,2,2015-17,2016
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,18,53,26,11.7,SD,211.6,117.8,SD,NA,NA,SD,2,2015-17,2017
16,Scotland,St Kilda,57.86,-8.48,2013,60290,21,254,24.31513,,SE/SD,164.1807,,SE/SD,459.7845,,SE/SD,75,2010,2010
17,Scotland,Sule Skerry,59.08,-4.4,2013,1870,2,14,14.35,1.57/5.87,SE/SD,72.89,5.30/19/81,SE/SD,246.68,24.75/92.62,SE/SD,2,2011,2011
18,Iceland,Vestmannaeyjar,63.36125,-20.366299,2013/14,15044,2,23,10.76,1.28,SE,51.03,4.81,SE,153.06,17.98,SE,"1,2","2016, 2017",2016
18,Iceland,Vestmannaeyjar,63.36125,-20.366299,2013/14,15044,7,13,9.29,2.63,SE,28.65,7.9,SE,116.28,32.74,SE,"1,2","2016, 2017",2017
19,Iceland,Skrúður,64.8999039,-13.631759,2014,6051,12,30,5.75,0.99,SE,33.76,5.07,SE,93.8,13.89,SE,1,"2016, 2017",2016
19,Iceland,Skrúður,64.8999039,-13.631759,2014,6051,15,41,4.12,0.57,SE,25.85,3.26,SE,75.13,66.76,SE,1,"2016, 2017",2017
20,Norway,Store Ulvøyhomen,68.85,14.85,2008,308,20,20,6.3,0.4,SE,18.8,1.1,SE,85.5,4.4,SE,10s,2008-09,2009
20,Norway,Store Ulvøyhomen,68.85,14.85,2008,308,23,23,7.4,0.9,SE,25.3,3.4,SE,114.8,13.6,SE,10s,2008-09,2008
21,Norway,Storstappen,71.23,25.5,2008,1244,14,14,6.6,0.4,SE,42.3,2.5,SE,154.6,9,SE,10s,2007-09,2009
21,Norway,Storstappen,71.23,25.5,2008,1244,23,23,8.4,1.2,SE,53.8,5.9,SE,190.6,27.9,SE,10s,2007-09,2008
21,Norway,Storstappen,71.23,25.5,2008,1244,21,21,4.5,0.6,SE,19.8,2.2,SE,89.1,9.4,SE,10s,2007-09,2007
